Date	Price	Open	High	Low	Vol.	Change %
2017/3/24	124.53	124.33	124.59	124.22	1.00M	0.1
2017/3/23	124.41	124.45	124.62	124.19	1.53M	-0.54
2017/3/22	125.08	124.98	125.28	124.97	1.28K	0.14
2017/3/21	124.91	124.69	125.05	124.48	5.90K	0.19
2017/3/20	124.67	124.41	124.69	124.41	9.29K	0.23
2017/3/17	124.39	124.14	124.55	124.12	4.50K	0.13
2017/3/16	124.23	124.41	124.48	124.11	4.21K	-0.13
2017/3/15	124.39	123.67	124.45	123.56	5.98K	0.67
2017/3/14	123.56	123.39	123.67	123.33	6.78K	0.07
2017/3/13	123.47	123.67	123.81	123.36	10.41K	-0.15
2017/3/10	123.66	123.34	123.81	123.31	8.55K	0.15
2017/3/9	123.47	123.66	123.75	123.34	7.72K	-0.24
2017/3/8	123.77	124.03	124.09	123.5	29.88K	-0.23
2017/3/7	124.05	124.16	124.22	123.98	19.44K	-0.11
2017/3/6	124.19	124.14	124.44	124.11	13.58K	0.02
2017/3/3	124.17	124.12	124.25	123.88	47.56K	0.07
2017/3/2	124.08	124.3	124.36	123.94	62.58K	-0.16
2017/3/1	124.28	124.8	124.8	124.17	141.99K	-0.66
2017/2/28	125.11	125.16	125.36	124.67	402.59K	-0.02
2017/2/27	125.14	125.64	125.64	125.11	1.25M	-0.37
2017/2/24	125.61	125.16	125.67	125.08	2.29M	0.45
2017/2/23	125.05	124.78	125.16	124.73	3.33M	0.22
2017/2/22	124.77	124.67	124.98	124.44	2.62M	0.06
2017/2/21	124.7	124.69	124.8	124.39	1.53M	0.06
2017/2/20	124.62	124.69	124.72	124.57	0	-0.07
2017/2/19	124.71	124.7	124.75	124.68	0	0.01
2017/2/17	124.7	124.44	124.91	124.34	1.12M	0.2
2017/2/16	124.45	124	124.53	123.95	1.37M	0.39
2017/2/15	123.97	124.2	124.27	123.77	1.45M	-0.21
2017/2/14	124.23	124.55	124.62	123.97	1.54M	-0.29
2017/2/13	124.59	124.73	124.75	124.44	826.48K	-0.15
2017/2/10	124.78	124.92	124.92	124.62	1.17M	-0.11
2017/2/9	124.92	125.48	125.48	124.84	1.43M	-0.35
2017/2/8	125.36	125.05	125.56	124.98	1.72M	0.2
2017/2/7	125.11	124.94	125.31	124.75	1.41M	0.14
2017/2/6	124.94	124.42	125.02	124.41	1.28M	0.53
2017/2/3	124.28	124.34	124.83	124.09	1.89M	-0.08
2017/2/2	124.38	124.31	124.7	124.23	1.37M	0.04
2017/2/1	124.33	124.45	124.47	123.91	1.50M	-0.11
2017/1/31	124.47	124.14	124.67	124.06	2.12M	0.2
2017/1/30	124.22	124.2	124.36	124.06	1.21M	0.04
2017/1/27	124.17	123.97	124.19	123.8	1.08M	0.16
2017/1/26	123.97	123.92	124.02	123.56	1.39M	0.13
2017/1/25	123.81	124.3	124.39	123.73	1.41M	-0.33
2017/1/24	124.22	124.86	124.94	124.2	1.17M	-0.47
2017/1/23	124.81	124.17	124.98	124.16	1.68M	0.47
2017/1/20	124.22	124.06	124.3	123.78	1.46M	0.04
2017/1/19	124.17	124.31	124.48	123.86	1.81M	-0.44
2017/1/18	124.72	125.23	125.28	124.31	1.29M	-0.41
2017/1/17	125.23	124.7	125.42	124.69	1.59M	0.32
2017/1/16	124.83	124.82	125.03	124.69	0	-0.01
2017/1/15	124.84	124.73	124.85	124.72	0	0.05
2017/1/13	124.78	124.88	125.31	124.34	1.58M	-0.09
2017/1/12	124.89	124.77	125.33	124.75	1.41M	0.06
2017/1/11	124.81	124.78	125.2	124.58	1.46M	0.03
2017/1/10	124.77	124.83	124.92	124.62	907.70K	-0.01
2017/1/9	124.78	124.39	124.86	124.23	889.37K	0.3
2017/1/6	124.41	124.95	125.33	124.31	1.54M	-0.34
2017/1/5	124.83	124.2	125.03	124.11	1.88M	0.58
2017/1/4	124.11	124.14	124.28	123.86	1.15M	0
2017/1/3	124.11	124.12	124.23	123.58	1.44M	0.06
2017/1/2	124.04	124.1	124.1	123.94	0	-0.19
2016/12/30	124.28	123.97	124.33	123.86	786.37K	0.27
2016/12/29	123.94	123.64	124.08	123.61	766.25K	0.24
2016/12/28	123.64	123.19	123.69	123.16	624.85K	0.36
2016/12/27	123.2	123.34	123.34	123.09	263.38K	-0.07
2016/12/26	123.29	123.28	123.29	123.28	0	-0.06
2016/12/23	123.36	123.27	123.47	123.2	287.29K	0.07
2016/12/22	123.27	123.36	123.42	123.05	585.52K	-0.02
2016/12/21	123.3	123.22	123.38	123.02	510.27K	-0.52
2016/12/20	123.94	124	124	123.7	16.91K	-0.07
2016/12/19	124.03	123.66	124.16	123.66	11.59K	0.34
2016/12/16	123.61	123.55	123.86	123.53	10.01K	-0.07
2016/12/15	123.7	123.86	123.86	123.3	11.38K	-0.37
2016/12/14	124.16	124.89	125.12	123.84	7.77K	-0.41
2016/12/13	124.67	124.88	125.08	124.62	3.34K	-0.08
2016/12/12	124.77	124.61	124.84	124.31	5.86K	-0.02
2016/12/9	124.8	125	125.28	124.67	8.54K	-0.38
2016/12/8	125.28	125.61	125.61	124.95	18.87K	-0.22
2016/12/7	125.55	125.23	125.58	125.14	17.06K	0.28
2016/12/6	125.2	125.16	125.34	125.12	17.02K	0.01
2016/12/5	125.19	125.61	125.77	124.73	52.88K	-0.03
2016/12/2	125.23	124.73	125.38	124.73	42.43K	0.4
2016/12/1	124.73	125.09	125.17	124.34	92.57K	-0.4
2016/11/30	125.23	125.8	125.83	124.98	361.21K	-0.43
2016/11/29	125.77	125.7	125.83	125.36	1.21M	0.1
